File,Kind,PS,SA,PE,RS,EL,RiskScore,Severity,Rank
RBAC-38_ClusterRole.yaml,ClusterRole,1.0,1.0,1.0,1.0,1.0,100.0,Critical,1
RBAC-88_ClusterRole.yaml,ClusterRole,1.0,1.0,1.0,1.0,1.0,100.0,Critical,2
RBAC-14_ClusterRole.yaml,ClusterRole,1.0,0.7,1.0,1.0,1.0,94.0,Critical,3
RBAC-48_ClusterRole.yaml,ClusterRole,1.0,0.7,1.0,1.0,1.0,94.0,Critical,4
RBAC-80_Role.yaml,Role,1.0,1.0,1.0,1.0,0.4,88.0,Critical,5
RBAC-03_ClusterRole.yaml,ClusterRole,1.0,0.0,1.0,1.0,1.0,80.0,Critical,6
RBAC-02_Role.yaml,Role,1.0,0.7,0.7,1.0,0.4,76.0,Critical,7
RBAC-07_Role.yaml,Role,1.0,0.7,0.7,1.0,0.4,76.0,Critical,8
RBAC-119_ClusterRole.yaml,ClusterRole,0.71,0.7,0.0,1.0,1.0,68.29,High,9
RBAC-05_ClusterRole.yaml,ClusterRole,0.71,0.7,0.0,1.0,1.0,68.29,High,10
RBAC-90_Role.yaml,Role,1.0,1.0,0.0,1.0,0.4,68.0,High,11
RBAC-11_Role.yaml,Role,1.0,1.0,0.0,1.0,0.4,68.0,High,12
RBAC-67_Role.yaml,Role,1.0,1.0,0.0,1.0,0.4,68.0,High,13
RBAC-23_ClusterRole.yaml,ClusterRole,1.0,0.0,0.7,0.5,1.0,64.0,High,14
RBAC-107_ClusterRole.yaml,ClusterRole,0.86,0.0,0.7,0.5,1.0,61.14,High,15
RBAC-19_ClusterRole.yaml,ClusterRole,1.0,0.0,1.0,0.0,1.0,60.0,High,16
RBAC-98_ClusterRole.yaml,ClusterRole,1.0,0.0,0.0,1.0,1.0,60.0,High,17
RBAC-36_ClusterRole.yaml,ClusterRole,1.0,0.0,1.0,0.0,1.0,60.0,High,18
RBAC-64_ClusterRole.yaml,ClusterRole,1.0,0.0,1.0,0.0,1.0,60.0,High,19
RBAC-10_ClusterRole.yaml,ClusterRole,1.0,0.0,1.0,0.0,1.0,60.0,High,20
RBAC-120_ClusterRole.yaml,ClusterRole,0.86,0.0,0.0,1.0,1.0,57.14,High,21
RBAC-102_ClusterRole.yaml,ClusterRole,0.71,0.0,0.0,1.0,1.0,54.29,High,22
RBAC-94_Role.yaml,Role,0.43,0.7,0.0,1.0,0.4,50.57,High,23
RBAC-53_Role.yaml,Role,0.43,0.7,0.0,1.0,0.4,50.57,High,24
RBAC-60_Role.yaml,Role,0.43,0.7,0.0,1.0,0.4,50.57,High,25
RBAC-77_ClusterRole.yaml,ClusterRole,0.43,0.0,0.0,1.0,1.0,48.57,Medium,26
RBAC-70_ClusterRole.yaml,ClusterRole,0.43,0.0,0.0,1.0,1.0,48.57,Medium,27
RBAC-18_ClusterRole.yaml,ClusterRole,0.43,0.0,0.0,1.0,1.0,48.57,Medium,28
RBAC-56_ClusterRole.yaml,ClusterRole,0.43,0.0,0.0,1.0,1.0,48.57,Medium,29
RBAC-34_ClusterRole.yaml,ClusterRole,0.43,0.0,0.0,1.0,1.0,48.57,Medium,30
RBAC-26_ClusterRole.yaml,ClusterRole,0.43,0.0,0.0,1.0,1.0,48.57,Medium,31
RBAC-108_ClusterRole.yaml,ClusterRole,0.43,0.0,0.0,1.0,1.0,48.57,Medium,32
RBAC-50_Role.yaml,Role,1.0,0.0,1.0,0.0,0.4,48.0,Medium,33
RBAC-45_ClusterRole.yaml,ClusterRole,1.0,0.0,0.0,0.0,1.0,40.0,Medium,34
RBAC-104_ClusterRole.yaml,ClusterRole,1.0,0.0,0.0,0.0,1.0,40.0,Medium,35
RBAC-115_ClusterRole.yaml,ClusterRole,0.86,0.0,0.0,0.1,1.0,39.14,Medium,36
RBAC-96_ClusterRole.yaml,ClusterRole,0.43,0.0,0.0,0.5,1.0,38.57,Medium,37
RBAC-89_ClusterRole.yaml,ClusterRole,0.29,0.0,0.0,0.5,1.0,35.71,Medium,38
RBAC-93_Role.yaml,Role,0.71,0.0,0.0,0.5,0.4,32.29,Medium,39
RBAC-91_ClusterRole.yaml,ClusterRole,0.57,0.0,0.0,0.0,1.0,31.43,Medium,40
RBAC-62_ClusterRole.yaml,ClusterRole,0.57,0.0,0.0,0.0,1.0,31.43,Medium,41
RBAC-22_Role.yaml,Role,1.0,0.0,0.0,0.1,0.4,30.0,Medium,42
RBAC-73_Role.yaml,Role,1.0,0.0,0.0,0.1,0.4,30.0,Medium,43
RBAC-66_ClusterRole.yaml,ClusterRole,0.43,0.0,0.0,0.0,1.0,28.57,Medium,44
RBAC-69_ClusterRole.yaml,ClusterRole,0.43,0.0,0.0,0.0,1.0,28.57,Medium,45
RBAC-100_ClusterRole.yaml,ClusterRole,0.43,0.0,0.0,0.0,1.0,28.57,Medium,46
RBAC-109_ClusterRole.yaml,ClusterRole,0.43,0.0,0.0,0.0,1.0,28.57,Medium,47
RBAC-99_Role.yaml,Role,0.86,0.0,0.0,0.0,0.4,25.14,Medium,48
RBAC-30_ClusterRole.yaml,ClusterRole,0.14,0.0,0.0,0.0,1.0,22.86,Low,49
RBAC-13_ClusterRole.yaml,ClusterRole,0.14,0.0,0.0,0.0,1.0,22.86,Low,50
RBAC-118_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,51
RBAC-35_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,52
RBAC-43_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,53
RBAC-83_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,54
RBAC-29_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,55
RBAC-117_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,56
RBAC-06_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,57
RBAC-92_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,58
RBAC-27_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,59
RBAC-12_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,60
RBAC-39_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,61
RBAC-24_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,62
RBAC-78_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,63
RBAC-44_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,64
RBAC-46_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,65
RBAC-71_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,66
RBAC-40_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,67
RBAC-75_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,68
RBAC-113_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,69
RBAC-55_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,70
RBAC-37_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,71
RBAC-101_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,72
RBAC-63_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,73
RBAC-61_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,74
RBAC-33_ClusterRole.yaml,ClusterRole,0.0,0.0,0.0,0.0,1.0,20.0,Low,75
RBAC-31_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,76
RBAC-82_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,77
RBAC-114_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,78
RBAC-09_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,79
RBAC-116_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,80
RBAC-68_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,81
RBAC-51_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,82
RBAC-95_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,83
RBAC-76_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,84
RBAC-58_ClusterRole.yaml,ClusterRole,0.0,0.0,0.0,0.0,1.0,20.0,Low,85
RBAC-47_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,86
RBAC-32_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,87
RBAC-15_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,88
RBAC-54_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,89
RBAC-49_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,90
RBAC-87_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,91
RBAC-111_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,92
RBAC-04_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,93
RBAC-41_ClusterRoleBinding.yaml,ClusterRoleBinding,0.0,0.0,0.0,0.0,1.0,20.0,Low,94
RBAC-65_ClusterRole.yaml,ClusterRole,0.0,0.0,0.0,0.0,1.0,20.0,Low,95
RBAC-72_Role.yaml,Role,0.14,0.0,0.0,0.1,0.4,12.86,Low,96
RBAC-52_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,97
RBAC-86_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,98
RBAC-17_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,99
RBAC-81_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,100
RBAC-20_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,101
RBAC-74_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,102
RBAC-79_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,103
RBAC-57_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,104
RBAC-85_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,105
RBAC-106_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,106
RBAC-110_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,107
RBAC-105_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,108
RBAC-21_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,109
RBAC-28_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,110
RBAC-59_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,111
RBAC-84_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,112
RBAC-42_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,113
RBAC-01_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,114
RBAC-08_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,115
RBAC-16_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,116
RBAC-112_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,117
RBAC-97_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,118
RBAC-25_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,119
RBAC-103_RoleBinding.yaml,RoleBinding,0.0,0.0,0.0,0.0,0.4,8.0,Low,120
